artifact__title,artifact__summary,artifact__type,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__publisher,artifact__tags,artifact__people__author,artifact__people__editor,collection__uuid,file__content_type,file__url,file__language
"Women, girls, and gender non-conforming people with disabilities: Know your rights!","UN Women and Women Enabled International developed this “Know your rights” guide in consultation with women with disabilities.

The purpose of this document is to provide a user-friendly guide for women with disabilities across the globe to understand their rights in accessing support when experiencing gender-based violence and to enable them to advocate with States for their rights.

This publication is part of the “Briefs on women and girls with disabilities series”.",report,,2021-06-30,,https://www.unwomen.org/en/digital-library/publications/2021/06/women-girls-and-gender-non-conforming-people-with-disabilities,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),"Ending violence against women and girls|Gender, culture and society|Women with disabilities",,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/Headquarters/Attachments/Sections/Library/Publications/2021/Women-girls-and-gender-non-conforming-people-with-disabilities-en.pdf,unknown
"Women, girls, and gender non-conforming people with disabilities: Know your rights!","UN Women and Women Enabled International developed this “Know your rights” guide in consultation with women with disabilities.

The purpose of this document is to provide a user-friendly guide for women with disabilities across the globe to understand their rights in accessing support when experiencing gender-based violence and to enable them to advocate with States for their rights.

This publication is part of the “Briefs on women and girls with disabilities series”.",report,,2021-06-30,,https://www.unwomen.org/en/digital-library/publications/2021/06/women-girls-and-gender-non-conforming-people-with-disabilities,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),"Ending violence against women and girls|Gender, culture and society|Women with disabilities",,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/en/digital-library/publications/2021/06/women-girls-and-gender-non-conforming-people-with-disabilities,unknown
Corporate evaluation of UN Women’s UN system coordination and broader convening role in ending violence against women,"UN Women works to prevent and respond to violence against women and girls (VAWG), increase access to services for survivors, and make private and public spaces safer for women and girls.In working towards ending VAWG, UN Women leverages its integrated mandate through the provision of normative support, coordination of the UN system, and implementation of its operational activities. UN Women engages on multiple fronts by partnering with governments, UN organizations, civil society organizations, and other partners to foster accountability and yield collective action through concerted and coordinated actions to address VAWG and gender inequality. In 2021, the Independent Evaluation Service conducted the corporate evaluation of UN Women’s UN system coordination and broader convening role in ending violence against women as part of its implementation of the UN Women Corporate Evaluation Plan. The evaluation provides an overall assessment of UN Women’s UN system coordination and broader convening role in the area of ending violence against women and includes a forward-looking analysis with a view to informing UN Women’s Strategic Plan 2022–2025.",report,,2021-06-30,,https://www.unwomen.org/en/digital-library/publications/2021/06/evaluation-un-women-un-system-coordination-and-broader-convening-role-in-evaw,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),"2030 Agenda for Sustainable Development|Ending violence against women and girls|Gender equality and women’s empowerment|Monitoring and evaluation|Monitoring, evaluation and reporting|Partnerships|Results-based management|UN system coordination",,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/Headquarters/Attachments/Sections/Library/Publications/2021/Evaluation-UN-WOMEN-UN-system-coordination-and-broader-convening-role-in-EVAW-en.pdf,unknown
Corporate evaluation of UN Women’s UN system coordination and broader convening role in ending violence against women,"UN Women works to prevent and respond to violence against women and girls (VAWG), increase access to services for survivors, and make private and public spaces safer for women and girls.In working towards ending VAWG, UN Women leverages its integrated mandate through the provision of normative support, coordination of the UN system, and implementation of its operational activities. UN Women engages on multiple fronts by partnering with governments, UN organizations, civil society organizations, and other partners to foster accountability and yield collective action through concerted and coordinated actions to address VAWG and gender inequality. In 2021, the Independent Evaluation Service conducted the corporate evaluation of UN Women’s UN system coordination and broader convening role in ending violence against women as part of its implementation of the UN Women Corporate Evaluation Plan. The evaluation provides an overall assessment of UN Women’s UN system coordination and broader convening role in the area of ending violence against women and includes a forward-looking analysis with a view to informing UN Women’s Strategic Plan 2022–2025.",report,,2021-06-30,,https://www.unwomen.org/en/digital-library/publications/2021/06/evaluation-un-women-un-system-coordination-and-broader-convening-role-in-evaw,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),"2030 Agenda for Sustainable Development|Ending violence against women and girls|Gender equality and women’s empowerment|Monitoring and evaluation|Monitoring, evaluation and reporting|Partnerships|Results-based management|UN system coordination",,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/Headquarters/Attachments/Sections/Library/Publications/2021/Evaluation-UN-WOMEN-UN-system-coordination-and-broader-convening-role-in-EVAW-brief-en.pdf,unknown
Corporate evaluation of UN Women’s UN system coordination and broader convening role in ending violence against women,"UN Women works to prevent and respond to violence against women and girls (VAWG), increase access to services for survivors, and make private and public spaces safer for women and girls.In working towards ending VAWG, UN Women leverages its integrated mandate through the provision of normative support, coordination of the UN system, and implementation of its operational activities. UN Women engages on multiple fronts by partnering with governments, UN organizations, civil society organizations, and other partners to foster accountability and yield collective action through concerted and coordinated actions to address VAWG and gender inequality. In 2021, the Independent Evaluation Service conducted the corporate evaluation of UN Women’s UN system coordination and broader convening role in ending violence against women as part of its implementation of the UN Women Corporate Evaluation Plan. The evaluation provides an overall assessment of UN Women’s UN system coordination and broader convening role in the area of ending violence against women and includes a forward-looking analysis with a view to informing UN Women’s Strategic Plan 2022–2025.",report,,2021-06-30,,https://www.unwomen.org/en/digital-library/publications/2021/06/evaluation-un-women-un-system-coordination-and-broader-convening-role-in-evaw,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),"2030 Agenda for Sustainable Development|Ending violence against women and girls|Gender equality and women’s empowerment|Monitoring and evaluation|Monitoring, evaluation and reporting|Partnerships|Results-based management|UN system coordination",,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.orghttps://www.unwomen.org/en/digital-library/publications/2021/07/transform-issue-22-july-2021,unknown
Assessing the gendered employment impacts of COVID-19 and supporting a gender-responsive recovery,"This policy tool was developed as part of the joint UN Women and International Labour Organization (ILO) Joint Programme titled “Promoting Decent Employment for Women through Inclusive Growth Policies and Investments in the Care Economy”.

The gendered employment policy tool offers analytical frameworks and data suggestions to enable assessment of the gender differentiated employment effects of the COVID-19 crisis at the country level. It also identifies policy options to promote gender-responsive national employment strategies.

The tool considers interactions between the paid and the unpaid economy and is organized in several steps:

It provides a checklist of questions and indicators to help in mapping the gender structure of a particular economy with emphasis on pre-existing gender inequalities in labour markets;
	It shows how to trace the impact of the COVID-19 crisis on women’s employment and working conditions relative to men, differentiating by types of risk;
	It discusses policy options to support gender-equitable employment outcomes and distinguishes between short-term measures and medium-term measures; and
	It develops an organizing principle for tailoring policy responses to specific gender employment structures and socio-economic contexts.
See other policy tools developed under this UN Women and ILO Joint Programme:

“How to assess fiscal stimulus packages from a gender equality perspective” and
	“A guide to public investments in the care economy: Policy support tool for estimating care deficits, investment costs, and economic returns”.",report,,2021-03-31,,https://www.unwomen.org/en/digital-library/publications/2021/04/policy-tool-gendered-employment-impacts-of-covid-19,International Labour Organization (ILO),Economic empowerment|Employment|Gender equality and women’s empowerment|Gender equality indicators|Gender statistics|Macroeconomic policies|Poverty|Social protection,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/Headquarters/Attachments/Sections/Library/Publications/2021/Policy-tool-Gendered-employment-impacts-of-COVID-19-en.pdf,unknown
Assessing the gendered employment impacts of COVID-19 and supporting a gender-responsive recovery,"This policy tool was developed as part of the joint UN Women and International Labour Organization (ILO) Joint Programme titled “Promoting Decent Employment for Women through Inclusive Growth Policies and Investments in the Care Economy”.

The gendered employment policy tool offers analytical frameworks and data suggestions to enable assessment of the gender differentiated employment effects of the COVID-19 crisis at the country level. It also identifies policy options to promote gender-responsive national employment strategies.

The tool considers interactions between the paid and the unpaid economy and is organized in several steps:

It provides a checklist of questions and indicators to help in mapping the gender structure of a particular economy with emphasis on pre-existing gender inequalities in labour markets;
	It shows how to trace the impact of the COVID-19 crisis on women’s employment and working conditions relative to men, differentiating by types of risk;
	It discusses policy options to support gender-equitable employment outcomes and distinguishes between short-term measures and medium-term measures; and
	It develops an organizing principle for tailoring policy responses to specific gender employment structures and socio-economic contexts.
See other policy tools developed under this UN Women and ILO Joint Programme:

“How to assess fiscal stimulus packages from a gender equality perspective” and
	“A guide to public investments in the care economy: Policy support tool for estimating care deficits, investment costs, and economic returns”.",report,,2021-03-31,,https://www.unwomen.org/en/digital-library/publications/2021/04/policy-tool-gendered-employment-impacts-of-covid-19,International Labour Organization (ILO),Economic empowerment|Employment|Gender equality and women’s empowerment|Gender equality indicators|Gender statistics|Macroeconomic policies|Poverty|Social protection,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.orghttps://www.unwomen.org/sites/default/files/2021-12/Policy-tool-Gendered-employment-impacts-of-COVID-19-ar.pdf,unknown
Assessing the gendered employment impacts of COVID-19 and supporting a gender-responsive recovery,"This policy tool was developed as part of the joint UN Women and International Labour Organization (ILO) Joint Programme titled “Promoting Decent Employment for Women through Inclusive Growth Policies and Investments in the Care Economy”.

The gendered employment policy tool offers analytical frameworks and data suggestions to enable assessment of the gender differentiated employment effects of the COVID-19 crisis at the country level. It also identifies policy options to promote gender-responsive national employment strategies.

The tool considers interactions between the paid and the unpaid economy and is organized in several steps:

It provides a checklist of questions and indicators to help in mapping the gender structure of a particular economy with emphasis on pre-existing gender inequalities in labour markets;
	It shows how to trace the impact of the COVID-19 crisis on women’s employment and working conditions relative to men, differentiating by types of risk;
	It discusses policy options to support gender-equitable employment outcomes and distinguishes between short-term measures and medium-term measures; and
	It develops an organizing principle for tailoring policy responses to specific gender employment structures and socio-economic contexts.
See other policy tools developed under this UN Women and ILO Joint Programme:

“How to assess fiscal stimulus packages from a gender equality perspective” and
	“A guide to public investments in the care economy: Policy support tool for estimating care deficits, investment costs, and economic returns”.",report,,2021-03-31,,https://www.unwomen.org/en/digital-library/publications/2021/04/policy-tool-gendered-employment-impacts-of-covid-19,International Labour Organization (ILO),Economic empowerment|Employment|Gender equality and women’s empowerment|Gender equality indicators|Gender statistics|Macroeconomic policies|Poverty|Social protection,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/en/digital-library/publications/2021/04/policy-tool-gendered-employment-impacts-of-covid-19,unknown
Assessing the gendered employment impacts of COVID-19 and supporting a gender-responsive recovery,"This policy tool was developed as part of the joint UN Women and International Labour Organization (ILO) Joint Programme titled “Promoting Decent Employment for Women through Inclusive Growth Policies and Investments in the Care Economy”.

The gendered employment policy tool offers analytical frameworks and data suggestions to enable assessment of the gender differentiated employment effects of the COVID-19 crisis at the country level. It also identifies policy options to promote gender-responsive national employment strategies.

The tool considers interactions between the paid and the unpaid economy and is organized in several steps:

It provides a checklist of questions and indicators to help in mapping the gender structure of a particular economy with emphasis on pre-existing gender inequalities in labour markets;
	It shows how to trace the impact of the COVID-19 crisis on women’s employment and working conditions relative to men, differentiating by types of risk;
	It discusses policy options to support gender-equitable employment outcomes and distinguishes between short-term measures and medium-term measures; and
	It develops an organizing principle for tailoring policy responses to specific gender employment structures and socio-economic contexts.
See other policy tools developed under this UN Women and ILO Joint Programme:

“How to assess fiscal stimulus packages from a gender equality perspective” and
	“A guide to public investments in the care economy: Policy support tool for estimating care deficits, investment costs, and economic returns”.",report,,2021-03-31,,https://www.unwomen.org/en/digital-library/publications/2021/04/policy-tool-gendered-employment-impacts-of-covid-19,International Labour Organization (ILO),Economic empowerment|Employment|Gender equality and women’s empowerment|Gender equality indicators|Gender statistics|Macroeconomic policies|Poverty|Social protection,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/en/digital-library/publications/2021/04/policy-tool-gendered-employment-impacts-of-covid-19,unknown
COVID-19 and fiscal policy: Applying gender-responsive budgeting in support and recovery,"Since the start of the COVID-19 pandemic, almost USD 16 trillion has been pumped into the global economy, and governments are now rolling out second and third phases of support.With the introduction of vaccines, some countries can begin to get the pandemic under control and start investing in recovery. Most countries, however, are still grappling with the pandemic’s immediate health and socio-economic fallout, including its outsized impact on women. While the adoption of policy measures to prevent or respond to the surge in violence against women is more widespread, the social protection and jobs response has not adequately supported women’s economic security nor addressed care work or the financing of care services.This policy brief presents entry points for the application of gender-responsive budgeting to COVID-19 support and recovery packages. Drawing on country examples, this brief provides recommendations on the use of gender budgeting tools to identify gaps in policy responses and direct spending towards gender responsive COVID-19 measures.See other UN Women policy briefs.",report,,2021-04-12,,https://www.unwomen.org/en/digital-library/publications/2021/04/covid-19-and-fiscal-policy-applying-gender-responsive-budgeting-in-support-and-recovery,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),COVID-19|Economic empowerment|Financing for gender equality|Gender-responsive budgeting|Governance and national planning|Health|Macroeconomic policies|Social protection,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/Headquarters/Attachments/Sections/Library/Publications/2021/Policy-brief-COVID-19-and-fiscal-policy-en.pdf,unknown
"IASC gender accountability framework report, 2019","The Inter-Agency Standing Committee (IASC) gender accountability framework report, 2019 marks the second monitoring cycle of the IASC’s 2017 gender equality and the empowerment of women and girls in humanitarian action policy.It provides a snapshot of the IASC’s output in the calendar year 2019 and allows for cross comparison with the baseline established with the 2018 report. The 2019 report shows some progress alongside some inconsistencies in the application of the 2017 gender policy. At the global level, gender was designated as a strategic priority for the allocation of the United Nations Central Emergency Response Fund funding by the Emergency Relief Coordinator and the first thematic evaluation by the IASC internal evaluation mechanism—the Inter-Agency Humanitarian Evaluation—was set as delivery on the gender policy. Both initiatives signifying commitment of the IASC management to address gender in humanitarian action.Progress on the recommendations from the 2018 report has been limited, indicating the need for strengthened ownership of the recommendations by all stakeholders in the process. Across all levels of the IASC, more effort is needed to translate the recommendations into action, with the IASC’s Gender Reference Group taking a more active role.At the field level, the analysis shows how the provision of gender capacity and facilitation of women’s voices contribute to better results.The IASC gender accountability framework report, 2019 is produced by UN Women on behalf of the IASC’s Gender Reference Group.",report,,2021-04-01,,https://www.unwomen.org/en/digital-library/publications/2021/04/iasc-gender-accountability-framework-report-2019,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),Gender equality and women’s empowerment|Humanitarian action|UN system coordination,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/Headquarters/Attachments/Sections/Library/Publications/2021/IASC-gender-accountability-framework-report-2019-en.pdf,unknown
COVID-19 and women’s rights organizations: Bridging response gaps and demanding a more just future,"This brief provides evidence of the different ways in which women’s rights organizations have been affected by the COVID-19 pandemic, highlighting the predicament that many of them face of increased relevance and demand at the same time as civic closure, restrictive work conditions, and diminishing funding.By showcasing the critical roles these organizations are playing in the context of the pandemic as essential service providers, advocates, and watchdogs, this brief also identifies a set of recommendations to strengthen them in the immediate term and pave the way for a more equal post-COVID future.See other UN Women policy briefs.",report,,2021-03-22,,https://www.unwomen.org/en/digital-library/publications/2021/03/policy-brief-covid-19-and-womens-rights-organizations,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),COVID-19|Civil society participation|Gender equality and inequality|Gender equality and women’s empowerment|Health|Leadership and political participation|Women’s movements,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/Headquarters/Attachments/Sections/Library/Publications/2021/Policy-brief-covid-19-and-womens-rights-organizations-en.pdf,unknown
COVID-19 and women’s rights organizations: Bridging response gaps and demanding a more just future,"This brief provides evidence of the different ways in which women’s rights organizations have been affected by the COVID-19 pandemic, highlighting the predicament that many of them face of increased relevance and demand at the same time as civic closure, restrictive work conditions, and diminishing funding.By showcasing the critical roles these organizations are playing in the context of the pandemic as essential service providers, advocates, and watchdogs, this brief also identifies a set of recommendations to strengthen them in the immediate term and pave the way for a more equal post-COVID future.See other UN Women policy briefs.",report,,2021-03-22,,https://www.unwomen.org/en/digital-library/publications/2021/03/policy-brief-covid-19-and-womens-rights-organizations,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),COVID-19|Civil society participation|Gender equality and inequality|Gender equality and women’s empowerment|Health|Leadership and political participation|Women’s movements,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/Headquarters/Attachments/Sections/Library/Publications/2021/Policy-brief-COVID-19-and-womens-rights-organizations-ar.pdf,unknown
COVID-19 and women’s rights organizations: Bridging response gaps and demanding a more just future,"This brief provides evidence of the different ways in which women’s rights organizations have been affected by the COVID-19 pandemic, highlighting the predicament that many of them face of increased relevance and demand at the same time as civic closure, restrictive work conditions, and diminishing funding.By showcasing the critical roles these organizations are playing in the context of the pandemic as essential service providers, advocates, and watchdogs, this brief also identifies a set of recommendations to strengthen them in the immediate term and pave the way for a more equal post-COVID future.See other UN Women policy briefs.",report,,2021-03-22,,https://www.unwomen.org/en/digital-library/publications/2021/03/policy-brief-covid-19-and-womens-rights-organizations,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),COVID-19|Civil society participation|Gender equality and inequality|Gender equality and women’s empowerment|Health|Leadership and political participation|Women’s movements,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/fr/digital-library/publications/2021/03/policy-brief-covid-19-and-womens-rights-organizations,unknown
COVID-19 and women’s rights organizations: Bridging response gaps and demanding a more just future,"This brief provides evidence of the different ways in which women’s rights organizations have been affected by the COVID-19 pandemic, highlighting the predicament that many of them face of increased relevance and demand at the same time as civic closure, restrictive work conditions, and diminishing funding.By showcasing the critical roles these organizations are playing in the context of the pandemic as essential service providers, advocates, and watchdogs, this brief also identifies a set of recommendations to strengthen them in the immediate term and pave the way for a more equal post-COVID future.See other UN Women policy briefs.",report,,2021-03-22,,https://www.unwomen.org/en/digital-library/publications/2021/03/policy-brief-covid-19-and-womens-rights-organizations,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),COVID-19|Civil society participation|Gender equality and inequality|Gender equality and women’s empowerment|Health|Leadership and political participation|Women’s movements,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/Headquarters/Attachments/Sections/Library/Publications/2021/Policy-brief-covid-19-and-womens-rights-organizations-ru.pdf,unknown
COVID-19 and women’s rights organizations: Bridging response gaps and demanding a more just future,"This brief provides evidence of the different ways in which women’s rights organizations have been affected by the COVID-19 pandemic, highlighting the predicament that many of them face of increased relevance and demand at the same time as civic closure, restrictive work conditions, and diminishing funding.By showcasing the critical roles these organizations are playing in the context of the pandemic as essential service providers, advocates, and watchdogs, this brief also identifies a set of recommendations to strengthen them in the immediate term and pave the way for a more equal post-COVID future.See other UN Women policy briefs.",report,,2021-03-22,,https://www.unwomen.org/en/digital-library/publications/2021/03/policy-brief-covid-19-and-womens-rights-organizations,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),COVID-19|Civil society participation|Gender equality and inequality|Gender equality and women’s empowerment|Health|Leadership and political participation|Women’s movements,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/es/digital-library/publications/2021/03/policy-brief-covid-19-and-womens-rights-organizations,unknown
"A guide to public investments in the care economy: Policy support tool for estimating care deficits, investment costs, and economic returns","This policy support tool was developed in the framework of the UN Women and International Labour Organization (ILO) Joint Programme titled “Promoting Decent Employment for Women through Inclusive Growth Policies and Investments in the Care Economy” and as part of the UN-wide response initiatives to be included in the UN socio-economic response to the COVID-19 pandemic.

Within this framework, the tool aims to provide a methodology on how to:


	Identify the coverage gaps in care services (namely public healthcare, long-term care, early childhood care and education, and primary and secondary education);
	Estimate the costs of public investments and expenditures for eliminating these coverage gaps; and
	Assess the various social, employment, and fiscal returns to such investments in the short- and long-run.


See other policy tools developed under this UN Women and ILO Joint Programme:


	“How to assess fiscal stimulus packages from a gender equality perspective” and
	“Assessing the gendered employment impacts of COVID-19 and supporting a gender-responsive recovery”.",report,,2021-03-31,,https://www.unwomen.org/en/digital-library/publications/2021/04/policy-tool-care-economy,International Labour Organization (ILO),Access to basic services|Economic empowerment|Employment|Gender equality and women’s empowerment|Gender-responsive budgeting|Governance and national planning|Macroeconomic policies|Unpaid work,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/Headquarters/Attachments/Sections/Library/Publications/2021/Policy-tool-Care-economy-en.pdf,unknown
"A guide to public investments in the care economy: Policy support tool for estimating care deficits, investment costs, and economic returns","This policy support tool was developed in the framework of the UN Women and International Labour Organization (ILO) Joint Programme titled “Promoting Decent Employment for Women through Inclusive Growth Policies and Investments in the Care Economy” and as part of the UN-wide response initiatives to be included in the UN socio-economic response to the COVID-19 pandemic.

Within this framework, the tool aims to provide a methodology on how to:


	Identify the coverage gaps in care services (namely public healthcare, long-term care, early childhood care and education, and primary and secondary education);
	Estimate the costs of public investments and expenditures for eliminating these coverage gaps; and
	Assess the various social, employment, and fiscal returns to such investments in the short- and long-run.


See other policy tools developed under this UN Women and ILO Joint Programme:


	“How to assess fiscal stimulus packages from a gender equality perspective” and
	“Assessing the gendered employment impacts of COVID-19 and supporting a gender-responsive recovery”.",report,,2021-03-31,,https://www.unwomen.org/en/digital-library/publications/2021/04/policy-tool-care-economy,International Labour Organization (ILO),Access to basic services|Economic empowerment|Employment|Gender equality and women’s empowerment|Gender-responsive budgeting|Governance and national planning|Macroeconomic policies|Unpaid work,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.orghttps://www.unwomen.org/sites/default/files/2021-12/Policy-tool-Care-economy-ar.pdf,unknown
"A guide to public investments in the care economy: Policy support tool for estimating care deficits, investment costs, and economic returns","This policy support tool was developed in the framework of the UN Women and International Labour Organization (ILO) Joint Programme titled “Promoting Decent Employment for Women through Inclusive Growth Policies and Investments in the Care Economy” and as part of the UN-wide response initiatives to be included in the UN socio-economic response to the COVID-19 pandemic.

Within this framework, the tool aims to provide a methodology on how to:


	Identify the coverage gaps in care services (namely public healthcare, long-term care, early childhood care and education, and primary and secondary education);
	Estimate the costs of public investments and expenditures for eliminating these coverage gaps; and
	Assess the various social, employment, and fiscal returns to such investments in the short- and long-run.


See other policy tools developed under this UN Women and ILO Joint Programme:


	“How to assess fiscal stimulus packages from a gender equality perspective” and
	“Assessing the gendered employment impacts of COVID-19 and supporting a gender-responsive recovery”.",report,,2021-03-31,,https://www.unwomen.org/en/digital-library/publications/2021/04/policy-tool-care-economy,International Labour Organization (ILO),Access to basic services|Economic empowerment|Employment|Gender equality and women’s empowerment|Gender-responsive budgeting|Governance and national planning|Macroeconomic policies|Unpaid work,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/fr/digital-library/publications/2021/04/policy-tool-care-economy,unknown
"A guide to public investments in the care economy: Policy support tool for estimating care deficits, investment costs, and economic returns","This policy support tool was developed in the framework of the UN Women and International Labour Organization (ILO) Joint Programme titled “Promoting Decent Employment for Women through Inclusive Growth Policies and Investments in the Care Economy” and as part of the UN-wide response initiatives to be included in the UN socio-economic response to the COVID-19 pandemic.

Within this framework, the tool aims to provide a methodology on how to:


	Identify the coverage gaps in care services (namely public healthcare, long-term care, early childhood care and education, and primary and secondary education);
	Estimate the costs of public investments and expenditures for eliminating these coverage gaps; and
	Assess the various social, employment, and fiscal returns to such investments in the short- and long-run.


See other policy tools developed under this UN Women and ILO Joint Programme:


	“How to assess fiscal stimulus packages from a gender equality perspective” and
	“Assessing the gendered employment impacts of COVID-19 and supporting a gender-responsive recovery”.",report,,2021-03-31,,https://www.unwomen.org/en/digital-library/publications/2021/04/policy-tool-care-economy,International Labour Organization (ILO),Access to basic services|Economic empowerment|Employment|Gender equality and women’s empowerment|Gender-responsive budgeting|Governance and national planning|Macroeconomic policies|Unpaid work,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/en/digital-library/publications/2021/04/policy-tool-care-economy,unknown
How to assess fiscal stimulus packages from a gender equality perspective,"This policy tool was developed as part of the joint UN Women and International Labour Organization (ILO) Joint Programme titled “Promoting Decent Employment for Women through Inclusive Growth Policies and Investments in the Care Economy”.

The policy support tool aims to embed gender equality concerns in national fiscal stimulus packages, as well as in the design of national policy responses. The tool was developed to guide policy makers, UN Women, and ILO staff working on these types of assessments in the context of their COVID-19 economic response and recovery efforts.

Key points of the tool include:


	Identifying the transmission channels by which gender is salient in contributing to inequality and material deprivation, based on COVID-19 specific gendered effects;
	Discussing the adequacy of the size of fiscal packages relative to the size of the problem they are meant to solve;
	Assessing fiscal stabilization and stimulus packages from a gender equality perspective, identifying areas that macro-level policies can effectively target to address gendered impacts of the crisis, with guidance on indicators that can be used in policy assessments;
	Assessing monetary policy from a gender equality perspective; and
	Considering the role of gender budgeting in the development and evaluation of fiscal and monetary stimulus packages.


See other policy tools developed under this UN Women and ILO Joint Programme:


	“A guide to public investments in the care economy: Policy support tool for estimating care deficits, investment costs, and economic returns” and
	“Assessing the gendered employment impacts of COVID-19 and supporting a gender-responsive recovery”.",report,,2021-03-31,,https://www.unwomen.org/en/digital-library/publications/2021/03/how-to-assess-fiscal-stimulus-packages-from-a-gender-equality-perspective,International Labour Organization (ILO),Economic empowerment|Gender equality and women’s empowerment|Gender equality indicators|Gender statistics|Gender-responsive budgeting|Governance and national planning|Macroeconomic policies|Social protection,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/Headquarters/Attachments/Sections/Library/Publications/2021/Policy-tool-Fiscal-stimulus-packages-en.pdf,unknown
How to assess fiscal stimulus packages from a gender equality perspective,"This policy tool was developed as part of the joint UN Women and International Labour Organization (ILO) Joint Programme titled “Promoting Decent Employment for Women through Inclusive Growth Policies and Investments in the Care Economy”.

The policy support tool aims to embed gender equality concerns in national fiscal stimulus packages, as well as in the design of national policy responses. The tool was developed to guide policy makers, UN Women, and ILO staff working on these types of assessments in the context of their COVID-19 economic response and recovery efforts.

Key points of the tool include:


	Identifying the transmission channels by which gender is salient in contributing to inequality and material deprivation, based on COVID-19 specific gendered effects;
	Discussing the adequacy of the size of fiscal packages relative to the size of the problem they are meant to solve;
	Assessing fiscal stabilization and stimulus packages from a gender equality perspective, identifying areas that macro-level policies can effectively target to address gendered impacts of the crisis, with guidance on indicators that can be used in policy assessments;
	Assessing monetary policy from a gender equality perspective; and
	Considering the role of gender budgeting in the development and evaluation of fiscal and monetary stimulus packages.


See other policy tools developed under this UN Women and ILO Joint Programme:


	“A guide to public investments in the care economy: Policy support tool for estimating care deficits, investment costs, and economic returns” and
	“Assessing the gendered employment impacts of COVID-19 and supporting a gender-responsive recovery”.",report,,2021-03-31,,https://www.unwomen.org/en/digital-library/publications/2021/03/how-to-assess-fiscal-stimulus-packages-from-a-gender-equality-perspective,International Labour Organization (ILO),Economic empowerment|Gender equality and women’s empowerment|Gender equality indicators|Gender statistics|Gender-responsive budgeting|Governance and national planning|Macroeconomic policies|Social protection,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.orghttps://www.unwomen.org/sites/default/files/2021-12/Policy-tool-Fiscal-stimulus-packages-ar.pdf,unknown
