artifact__title,artifact__title_english,artifact__summary,artifact__identifier,artifact__type,artifact__type_label,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__img,artifact__doi,artifact__publication_place,artifact__publisher,artifact__rights,artifact__rights_holder,artifact__rights_uri,artifact__tags,artifact__copyright,artifact__props__Example_Label,artifact__hidden_props__Example_Label,artifact__related_urls,artifact__isbn_online,artifact__isbn_print,artifact__issn_online,artifact__issn_print,artifact__series,artifact__people,artifact__people__author,artifact__people__editor,artifact__access_type,artifact__access_orgs,artifact__search_props__Example_Label,artifact__country,artifact__high_res_thumbnail,artifact__royalty_to_id,artifact__readable,collection__uuid,file__content_type,file__name,file__media_type,file__uuid,file__url,file__language,file__fulltext_s3_url,file__fulltext_paginated_s3_url,file__toc,file__viewer_settings,file__size,file__pages,file__key_terms,file__file_hash
Study of College Transition Messaging in GEAR UP: Impacts on Enrolling and Staying in College,,"Text-message-based college advising is a popular strategy to get students timely information and support, including among states and districts that participate in the federal college access program Gaining Early Awareness and Readiness for Undergraduate Programs (GEAR UP). In this study, about 4,800 college-intending seniors in high-need GEAR UP high schools across the country were randomly divided into two groups: one received their regular GEAR UP supports in the summer before and during their first year of college, and the other group received these regular supports along with 37 text messages customized to their college and the option to communicate with an advisor. The study found that students sent text messages were no more likely to enroll or persist in college than were students not sent messages. The messages also did not affect whether students completed the Free Application for Federal Student Aid (FAFSA).",,report,,2021-02-24,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=NCEE2021005,,,,NCEE,,,,Students|financial aid|transition to college,,,,,,,,,,,Tamara Linkow|Hannah Miller|Amanda Parsad|Cristofer Price: Abt Associates|Alina Martinez: Mathematica,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/pubs/2021005/pdf/2021005.pdf,,,,,,,,,
"Digest of Education Statistics, 2019",,"The 55th in a series of publications initiated in 1962, the Digest's purpose is to provide a compilation of statistical information covering the broad field of education from prekindergarten through graduate school. The Digest contains data on a variety of topics, including the number of schools and colleges, teachers, enrollments, and graduates, in addition to educational attainment, finances, and federal funds for education, libraries, and international comparisons.",,report,,2021-02-25,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2021009,,,,NCES,,,,,,,,,,,,,,,Cristobal de Brey|Thomas D. Snyder|Anlan Zhang|Sally A. Dillow,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2021/2021009.pdf,,,,,,,,,
"State and District Use of Title II, Part A Funds in 2018-19",,"Title II, Part A of the Elementary and Secondary Education Act (ESEA) provides over $2 billion per year in funding to states and districts to support effective instruction through the preparation, recruitment, and training of educators. The 2015 reauthorization of ESEA, as the Every Student Succeeds Act (ESSA), provided greater flexibility for states and districts in how they use Title II A funds, by expanding the option to transfer funds to other ESEA programs, authorizing states to set aside additional funds for training principals and other school leaders, and authorizing new allowable uses of the funds. This report describes the use of those flexibilities and provides a national picture of state and district priorities for Title II A funds in the 2018-19 school year. The report finds that districts most often used Title II A funds to provide professional development. Other common uses included reducing class sizes and recruiting and retaining effective teachers and principals. Half of the states and a quarter of districts used the new flexibility provided under ESSA. Subsequent rounds of these annual surveys will show the evolving responses of states and districts to the new ESSA provisions.",,report,,2021-02-25,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=NCEE2021006,,,,NCEE,,,,School Districts|Schools|States,,,,,,,,,,,Eric Isenberg|Ann Webber: Westat,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/pubs/2021006/pdf/2021006.pdf,,,,,,,,,
Understanding the Teacher Pipeline for Indiana's K-12 Public Schools,,"Leaders at the Indiana Commission for Higher Education and the Indiana Department of Education are concerned about teacher shortages and want a better understanding of the educator pipeline for Indiana’s K–12 public schools. This study examined the characteristics and outcomes for three cohorts of undergraduate education student in Indiana’s public colleges and universities. This study used longitudinal data for undergraduate education students in the 2010/11–2012/13 cohorts. The study team calculated the proportion of undergraduate education students who completed a bachelor’s degree in education, the proportion of degree completers who earned an initial instructional license, and the proportion of those with licenses who entered teaching in Indiana’s K–12 public schools, describing the demographic characteristics and academic preparation for students who reached those milestones. For those who entered teaching in Indiana’s K–12 public schools, the study team also described their retention and evaluation ratings in their first three years of teaching. The study team used statistical models to examine the extent to which completing a bachelor’s degree in education was related to individual and institutional factors. The study found that 41 percent of the undergraduate students completed a bachelor’s degree in education by 2017/18; among the completers, 55 percent earned an initial instructional license; and among those licensed, 69 percent entered teaching in Indiana public schools. Compared with the initial group of students entering education programs, students who completed a bachelor’s degree, those who earned initial instructional licenses, and those who entered teaching in Indiana public schools were less likely to be from racial/ethnic minority groups or have been eligible for the national school lunch program in high school. The study found that students who entered an education program in their third year of college or later had a lower probability of completing an education degree than students who entered an education program in their first year of college. Students who received Indiana’s 21st Century Scholarship in their first year of college or who received financial aid beyond their first year were more likely to complete a bachelor’s degree in education. However, students who received a Pell Grant were less likely to complete a bachelor’s degree in education. State and teacher education leaders in Indiana may want to prioritize strategies that increase diversity in teacher pipelines and consider a holistic approach to support students from low-income backgrounds which includes both increasing financial aid support to these students and expanding other support resources for them. Higher education institutions may want to encourage students to enroll in education program early in their college years and offer supports to assist students in making informed decisions about majors early on.",,report,,2021-03-01,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2021065,,,,REL,,,,States|Teachers|salaries of,,,,,,,,,,,Yinmei Wan|Max Pardo|Jingyan Xia,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/edlabs/regions/midwest/pdf/REL_2021065.pdf,,,,,,,,,
Early Childhood Data Use Assessment Tool,,"The Early Childhood Data Use Assessment Tool is designed to identify and improve data use skills among early childhood education (ECE) program staff so they can better use data to inform, plan, monitor, and make decisions for instruction and program improvement. Data use is critical in quality ECE programs but can be intimidating for some ECE program staff. This tool supports growth in their data use skills. The tool has three components: (1) a checklist to identify staff skills in using child assessment and administrative data, (2) a resource guide to identify professional development resources for improving data use skills, and (3) an action plan template to support planning for the development and achievement of data use goals. Results obtained from using the tool are meant by the developers to support instruction and program improvement through increased and structured use of data.",,toolkit-how-to,,2021-03-02,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2021067,,,,REL,,,,Assessment|Data Use|Early Childhood Education,,,,,,,,,,,Carrie Germeroth|Jeanette Joyce|Becky Kelleman|Lyn Bopp,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/edlabs/regions/central/pdf/REL_2021067.pdf,,,,,,,,,
Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades,,"The What Works Clearinghouse&TM; (WWC) developed this practice guide in partnership with a panel of experts including educators in both mathematics and special education. The panel distilled recent, rigorous mathematics intervention research into six practice recommendations for educators working with students in grades K-6. The guide can help educators tailor their math instruction approaches and small-group intervention programs and will also be useful to math specialists, math coaches, district and state personnel, and parents.",,guide,,2021-03-03,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=WWC2021006,,,,WWC,,,,Elementary Education|Mathematics,,,,,,,,,,,WWC,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/wwc/Docs/PracticeGuide/WWC2021006-Math-PG.pdf,,,,,,,,,
Evaluating the Implementation of Networked Improvement Communities in Education: An Applied Research Methods Report,,"The purpose of this study was to develop a framework that can be used to evaluate the implementation of networked improvement communities (NICs) in public prekindergarten (PK)–12 education and to apply this framework to the formative evaluation of the Minnesota Alternative Learning Center Networked Improvement Community (Minnesota ALC NIC), a partnership between Regional Educational Laboratory Midwest, the Minnesota Department of Education, and five alternative learning centers (ALCs) in Minnesota. The partnership formed with the goal of improving high school graduation rates among students in ALCs. The evaluation team developed and used research tools aligned with the evaluation framework to gather data from 37 school staff in the five ALCs participating in the Minnesota ALC NIC. Data sources included attendance logs, postmeeting surveys (administered following three NIC sessions), a post–Plan-Do-Study-Act survey, continuous improvement artifacts, and event summaries. The evaluation team used descriptive analyses for quantitative and qualitative data, including frequency tables to summarize survey data and coding artifacts to indicate completion of continuous improvement milestones. Engagement in the Minnesota ALC NIC was strong, as measured by attendance data and post–Plan-Do-Study-Act surveys, but the level of engagement varied by continuous improvement milestones. Based on postmeeting surveys, NIC members typically viewed the NIC as relevant and useful, particularly because of the opportunities to work within teams and develop relationships with staff from other schools. The percentage of meeting attendees agreeing that the NIC increased their knowledge and skills increased over time. Using artifacts from the NIC, the evaluation team determined that most of the teams completed most continuous improvement milestones. Whereas the post–Plan-Do-Study-Act survey completed by NIC members indicated that sharing among different NIC teams was relatively infrequent, contemporaneous meeting notes recorded specific instances of networking among teams. This report illustrates how the evaluation framework and its aligned set of research tools were applied to evaluate the Minnesota ALC NIC. With slight adaptations, these tools can be used to evaluate the implementation of a range of NICs in public PK–12 education settings. The study has several limitations, including low response rates to postmeeting surveys, reliance on retrospective measures of participation in continuous improvement activities, and the availability of extant data on a single Plan-Do-Study-Act cycle. The report includes suggestions for overcoming these limitations when applying the NIC evaluation framework to other NICs in public PK–12 education settings.",,toolkit-how-to,,2021-03-08,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2021075,,,,REL,,,,Alternative Education|Educational Improvement|Educational Research|Implementation Practices|Research Methodology|States,,,,,,,,,,,Jonathan Margolin|Amy R. Feygin|Agnesa Sejdijaj,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/edlabs/regions/midwest/pdf/REL_2021075.pdf,,,,,,,,,
"Do College and Career Readiness and Early College Success in Indiana Vary Depending on Whether Students Attend Public, Charter, or Private Voucher High Schools?",,"Indiana has a robust portfolio of high school options, including traditional public schools, charter schools, and private voucher schools that accept Indiana Choice Scholarships. This study identified the type of high school enrollment among students enrolled in grade 9 in 2010/11–2013/14 and examined their performance on indicators of college and career readiness and early college success. Charter school students and recipients of private school vouchers (voucher recipients) were most likely to belong to disadvantaged groups. After adjusting for student and high school background factors, students at private voucher schools who did not receive vouchers (nonvoucher students) performed similarly to or better than students in traditional public and charter schools on most indicators of college and career readiness; voucher recipients performed similarly to or better than students in traditional public schools; and  among students who enrolled in an Indiana public college, students from all enrollment types performed similarly on indicators of early college success.",,report,,2021-03-09,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2021072,,,,REL,,,,Readiness for School|Transition To College,,,,,,,,,,,Lisa Shannon|Anne Cosby|Bradley Rentz|Molly Henschel|Sheila A. Arens|Marisa Crowder,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/edlabs/regions/pacific/pdf/REL_2021072.pdf,,,,,,,,,
Literacy Design Collaborative Intervention Report,,This What Works Clearinghouse (WWC) intervention report summarizes the research on,,report,,2021-03-10,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=WWC2021004,,,,WWC,,,,Literacy|Teachers|characteristics of|salaries of,,,,,,,,,,,WWC,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/wwc/Docs/InterventionReports/wwc_EESL_ldc_IR_mar2021.pdf,,,,,,,,,
National Institute for School Leadership,,This What Works Clearinghouse (WWC) intervention report summarizes the research on,,report,,2021-03-10,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=WWC2021003,,,,WWC,,,,Leadership|Schools,,,,,,,,,,,WWC,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/wwc/Docs/InterventionReports/wwc_EESL_nisl_IR_mar2021.pdf,,,,,,,,,
Forum Guide to Strategies for Education Data Collection and Reporting (SEDCAR),,"The Forum Guide to Strategies for Education Data Collection and Reporting (SEDCAR) was created to provide timely and useful best practices for education agencies that are interested in designing and implementing a strategy for data collection and reporting, focusing on these as key elements of the larger data process. It builds upon the Standards for Education Data Collection and Reporting (published by the Forum in 1991) and reflects the vast increase over the past three decades in the number of compulsory and/or continual data collections conducted by education agencies. This new resource is designed to be relevant to the state and local education agencies (SEAs and LEAs) of today, in which data are regularly collected for multiple purposes, and data collection and recording may be conducted by many different individuals within an agency.",,guide,,2021-03-11,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=NFES2021013,,,,NFES,,,,Data Analysis|Data Collection|Data Management|Data Reporting|Data Strategy|Data Use|Databases|Process Data|Schools|States|state data systems|state education agency,,,,,,,,,,,National Forum on Education Statistics,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2021/NFES2021013.pdf,,,,,,,,,
"Do College and Career Readiness and Early College Success in Indiana Vary Depending on Whether Students Attend Public, Charter, or Private Voucher High Schools?",,"Indiana has a robust portfolio of high school options, including traditional public schools, charter schools, and private voucher schools that accept Indiana Choice Scholarships. This study identified the type of high school enrollment among students enrolled in grade 9 in 2010/11–2013/14 and examined their performance on indicators of college and career readiness and early college success. Charter school students and recipients of private school vouchers (voucher recipients) were most likely to belong to disadvantaged groups. After adjusting for student and high school background factors, students at private voucher schools who did not receive vouchers (nonvoucher students) performed similarly to or better than students in traditional public and charter schools on most indicators of college and career readiness; voucher recipients performed similarly to or better than students in traditional public schools; and  among students who enrolled in an Indiana public college, students from all enrollment types performed similarly on indicators of early college success.",,report,,2021-03-15,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2021071,,,,REL,,,,Career/Technical Education|Choice of School|College Preparation|Private Schools|Public Schools|States,,,,,,,,,,,Megan J. Austin|Max Pardo,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/edlabs/regions/midwest/pdf/REL_2021071.pdf,,,,,,,,,
Summary Tables for the 2019-20 Common Core of Data Universe Files,,"Along with the data files, four web tables summarizing select CCD data elements including the number and status of schools and local education agencies as well as several CCD indicators, by state are also available to users.",,table-chart-graph,,2021-03-15,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2021151,,,,NCES,,,,Enrollment|elementary and secondary schools|Public Schools|elementary/secondary|Staff|elementary and secondary schools|States,,,,,,,,,,,Chen-Su Chen,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,"https://nces.ed.gov/ccd/data_tables.asp#Fiscal:2,Keyword:Summary,CollectionYearId:1027,Page:1",,,,,,,,,
2019-20 Common Core of Data (CCD) Universe Files,,"These files are the product of the CCD data collection for the 2019-20 school year. Data are reported at state, district, and school levels and include staff counts by professional category, and student membership disaggregated by grade, race/ethnicity, and sex. Also included are school-level counts of student eligible for free and reduced-price lunches. Along with the data files, four web tables summarizing select CCD data elements including the number and status of schools and local education agencies as well as several CCD indicators, by state are also available to users.",,dataset,,2021-03-15,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2021150,,,,NCES,,,,Age|Enrollment|elementary and secondary schools|Gender|Public Schools|elementary/secondary|Race/Ethnicity|Socioeconomic Status|Staff|elementary and secondary schools|States,,,,,,,,,,,Chen-Su Chen,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,"https://nces.ed.gov/ccd/files.asp#Fiscal:2,SchoolYearId:34,Page:1",,,,,,,,,
Outside Jobs Among U.S. Public School Teachers,,This Data Point examines the supplemental school year income earned at jobs outside the school system by public school teachers in the United States.,,report,,2021-03-17,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2021007,,,,NCES,,,,Faculty|Public Schools|elementary/secondary|Salaries|Teachers|public school|salaries of,,,,,,,,,,,Jeremy Wilhelm|Westat|Laurie Lewis|Westat,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2021/2021007/index.asp,,,,,,,,,
Steps to Develop a Model to Estimate School- and District-Level Postsecondary Success,,"This tool is intended to support state and local education agencies in developing a statistical model for estimating student postsecondary success at the school or district level. The tool guides education agency researchers, analysts, and decisionmakers through options to consider when developing their own model. The resulting model generates an indicator of a school's or district's contribution to the postsecondary success of its students after contextual factors are accounted for that might be outside a school's or district's control, such as student demographic characteristics and community characteristics. State and local education agencies could use the information generated by the models they develop to help meet federal and state reporting requirements and to inform their own efforts to improve their students’ postsecondary success.",,toolkit-how-to,,2021-03-22,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2021074,,,,REL,,,,Multi-Level Modeling|Postsecondary Education|School Districts|Schools|Statistical Standards and Methodology,,,,,,,,,,,R. Marc Brodersen|Douglas Gagnon|Jing Liu|Tony Moss,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/edlabs/regions/central/pdf/REL_2021074.pdf,,,,,,,,,
"Public high school 4-year adjusted cohort graduation rate (ACGR), by race/ethnicity and selected demographic characteristics for the United States, the 50 states, and the District of Columbia: School Year 2018-19",,"The Public High School 4-year Adjusted Cohort Graduation Rate (ACGR) Table provides data at the national and state level for the fifty states and the District of Columbia to meet reporting requirements of the Every Student Succeeds Act (ESSA). The table displays an overall national rate, a state rate, national and state rates for racial/ethnic groups and other demographics. State data are included for the second time for ""Homeless enrolled"" and ""Foster care."" The table represents EDFacts File Specification 150 (Data Group 695), School year 2018–19; As of July 24, 2020.",,table-chart-graph,,2021-03-22,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2021037,,,,NCES,,,,"Graduation Rates, High School|High School|Public Schools|secondary|Race/Ethnicity|School Districts|demographics of|Secondary Education|longitudinal studies|States",,,,,,,,,,,,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/ccd/tables/ACGR_RE_and_characteristics_2018-19.asp,,,,,,,,,
Designing and Delivering Career Pathways at Community Colleges,,The What Works Clearinghouse,,guide,,2021-03-23,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=WWC2021007,,,,WWC,,,,Career/Technical Education|Community Colleges,,,,,,,,,,,WWC,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/wwc/Docs/PracticeGuide/WWC-PraxGuide-Career-Pathways-full-text-Final-508.pdf,,,,,,,,,
Early Child Care in Single-Parent and Two-Parent Families: 2019,,"This Data Point compares child care arrangements for children from birth through age 5, in single-parent families and two-parent families. It also examines problems finding childcare.",,report,,2021-03-26,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2021005,,,,NCES,,,,Age|Child Care|Early Childhood Education|Household Type,,,,,,,,,,,Jiashan Cui|Rachel Hanson,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2021/2021005/index.asp,,,,,,,,,
Center- and Program-Level Factors Associated with Turnover in the Early Childhood Education Workforce,,"Staff turnover is a pressing problem in early childhood education. High turnover can create organizational instability and distract from the care and education mandate of early childhood education centers. The Early Childhood Workforce Development Research Alliance of the Regional Educational Laboratory Northeast & Islands wants to better understand the factors associated with turnover in the early childhood educator workforce. Using data from the 2012 National Survey of Early Care and Education, this study found that a low average turnover rate across early childhood education centers obscured systematic variation in turnover patterns across types of centers and programs, with high turnover rates in some types. Higher wages were associated with lower turnover rates across centers. Turnover rates were highest among private-pay centers serving children ages 0–5. Nonwage benefits such as health insurance and retirement benefits and paid time off for professional development were generally unrelated to turnover rates. Educators were also clustered into certain center types based on background characteristics; Black educators and educators with lower educational attainment more likely to work in centers with low wages and high turnover.",,report,,2021-03-29,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2021069,,,,REL,,,,Early Childhood Education|Labor Turnover|Teachers|Attrition/Mobility,,,,,,,,,,,Meg Caven|Noman Khanani|Xinxin Zhang|Caroline E. Parker,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/edlabs/regions/northeast/pdf/REL_2021069.pdf,,,,,,,,,
Pre-COVID Ability Grouping in U.S. Public Schools,,This report examines whether ability grouping was used to organize classes or students in public schools in the United States. It presents information about the prevalence of ability grouping and the characteristics of schools using this method during school year 2017–18.,,report,,2021-03-30,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2021139,,,,NCES,,,,Instructional Resources and Practices|Public Schools|elementary/secondary|Schools,,,,,,,,,,,"Kim Standing|Westat|Laurie Lewis, Westat.",,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2021/2021139/index.asp,,,,,,,,,
Highlights of School-Level Finance Data: Selected Findings from the School-Level Finance Survey (SLFS) School Years 2015-16 (FY 16) and 2016-17 (FY 17),,"This statistical analysis report presents key findings and other data highlights from School-Level Finance Survey (SLFS) in school years 2015-16 and 2016-17. The report focuses on (1) the completeness and comparability of SLFS data and (2) how the SLFS can be utilized to evaluate differences in resource allocation (as measured by school-level expenditures) across schools, school districts, and states.",,statistical-publication,,2021-03-30,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2021305,,,,NCES,,,,Economics|Educational Equity|Expenditures|elementary and secondary schools|Finance|elementary and secondary schools|Poverty Status|Revenues|elementary/secondary schools|Schools|characteristics of|School districts spending|States|Teachers|salaries of|Urban,,,,,,,,,,,"Cornman, S.Q.|Ampadu, O.|D’Antonio, L.|Howell, M.|Wheeler, S.",,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2021/2021305.pdf,,,,,,,,,
Measuring Civic Readiness: A Review of Survey Scales,,"This resource supports state and local education agencies in identifying, comparing, and contrasting survey scales that measure a variety of civic readiness categories. It describes the format and structure of survey scales, details the civic readiness categories measured by the scales, and summarizes the reliability and validity evidence associated with the scales.",,toolkit-how-to,,2021-04-05,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2021068,,,,REL,,,,Civic Participation|Youth Survey,,,,,,,,,,,Steven E. J. Tedeschi|R. Marc Brodersen|Kai Schramm|Mckenzie Haines|Jing Liu|David McCullough|Matt Eide|Trudy Cherasaro,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/edlabs/regions/central/pdf/REL_2021068.pdf,,,,,,,,,
The Impact of Word Knowledge Instruction on Literacy Outcomes in Grade 5,,"District leaders in a large urban school district in central Florida wanted to examine the efficacy of a new curriculum designed to enhance the word knowledge of grade 5 students so as to improve reading achievement. The new curriculum, called Word Knowledge Instruction (WKI), consists of 15-minute lessons 4 days a week for 20 weeks. The lessons address state standards and cover 20 prefixes and suffixes. Thirty-nine schools participated in the study, with 92 English language arts (ELA) teachers in high-poverty schools randomly assigned within schools either to use WKI or to continue to use their standard ELA curriculum. Classroom observations revealed that WKI was implemented as intended. WKI had a positive effect, equivalent to an increase of 9 percentile points, on students' ability to correctly extract and spell a base word from a derived word, one of the skills explicitly taught by WKI. WKI had no effect on two other related reading skills that were not directly taught by WKI (students' ability to select a nonword that best fits the grammatical context of a sentence or to use knowledge of word parts to infer meaning of new words) or on students' vocabulary or reading scores. These findings suggest that, although students learned what they were explicitly taught, the transferability to related but not directly taught skills might require more intense or longer duration instruction or additional professional development for teachers.",,report,,2021-04-06,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2021083,,,,REL,,,,Curriculum|elementary school|Literacy,,,,,,,,,,,Barbara R. Foorman|Sarah Herrera|Jennifer L. Dombek|Carla Wood|Linda Gaughn|Lynn Dougherty Underwood,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/edlabs/regions/southeast/pdf/REL_2021083.pdf,,,,,,,,,
Science Teachers Learning through Lesson Analysis (STeLLA®),,"This What Works Clearinghouse (WWC) intervention report summarizes the research on Science Teachers Learning through Lesson Analysis (STeLLA®). STeLLA® is a professional development program, developed by BSCS Science Learning, that aims to improve students' science achievement by improving elementary teachers' science content knowledge and instruction. Based on the research, the WWC found that implementing STeLLA® has potentially positive effects on science achievement for students in grades 4 and 5.",,report,,2021-05-11,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=WWC2021010,,,,WWC,,,,Science|Teachers,,,,,,,,,,,WWC,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/wwc/Docs/InterventionReports/wwc_PS_STeLLA_IR_may2021.pdf,,,,,,,,,
Math Expressions,,"This WWC intervention report summarizes the research on Math Expressions, a core curriculum for elementary school students that aims to build students' conceptual understanding of mathematics and to develop fluency in mathematical problem solving and computation. The curriculum encourages student learning of mathematics through real-world situations, visual supports such as drawings and manipulatives, multiple approaches to solving problems, and opportunities for students to explain their mathematical thinking. Based on the research, the WWC found that Math Expressions has no discernible effects on general mathematics achievement for students in grades 1 and 2, relative to other math curricula used in study schools.",,report,,2021-05-11,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=WWC2021012,,,,WWC,,,,Mathematics|Mathematics/Science Education,,,,,,,,,,,WWC,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/wwc/Docs/InterventionReports/wwc_PM_mathex_IR_may2021.pdf,,,,,,,,,
University of Chicago School Mathematics Project (UCSMP),,"This WWC intervention report summarizes the research on University of Chicago School Mathematics Project (UCSMP), which is a core mathematics curriculum for middle school that includes materials and a routinized instructional approach with an option for teacher training. The curriculum is designed to teach students mathematics concepts, applications, and skills using an inquiry-based approach with a focus on active learning. The report focuses on two UCSMP courses: Pre-Transition Mathematics and Transition Mathematics. Pre-Transition Mathematics teaches arithmetic, algebra, geometry, probability, and statistics. Transition Mathematics teaches more advanced arithmetic, algebra, and geometry, and connects these areas to measurement, probability, and statistics. Based on the research, the WWC found that implementing UCSMP has no discernible effects on general mathematics achievement and no discernible effects on algebra achievement for students in grades 6 to 9, relative to other math curricula used in study schools.",,report,,2021-05-11,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=WWC2021011,,,,WWC,,,,Elementary Education|Mathematics,,,,,,,,,,,WWC,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/wwc/Docs/InterventionReports/wwc_PM_UCSMP_IR_may2021.pdf,,,,,,,,,
Early Childhood Program Participation: 2019,,"This First Look report presents findings about young children’s care and education before kindergarten, including participation rates in weekly nonparental care arrangements, how well these arrangements cover work hours, costs of care, months spent in care, location of care, factors used to select a care arrangement, and factors making it difficult to find care. These data represent circumstances before the implementation of COVID-19 restrictions.",,report,,2021-05-12,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2020075REV,,,,NCES,,,,Child Care|Early Childhood Education|Preschool,,,,,,,,,,,Jiashan Cui|Luke Natzke,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2020/2020075REV.pdf,,,,,,,,,
